NPC,NPC Lat,NPC Long
Bukit Merah East Neighbourhood Police Centre,1.2784826110588,103.839416185126
Marina Bay Neighbourhood Police Centre,1.27473549954701,103.848994254645
Rochor Neighbourhood Police Centre,1.30764884904879,103.854270715559
Bukit Merah West Neighbourhood Police Centre,1.28560832622487,103.823400103779
Clementi Neighbourhood Police Centre,1.32192860779919,103.76011527882
Jurong East Neighbourhood Police Centre,1.34013271672643,103.737230755516
Queenstown Neighbourhood Police Centre,1.2883831195166,103.802858171683
Bishan Neighbourhood Police Centre,1.3578059845284,103.84770931156
Bukit Timah Neighbourhood Police Centre,1.32272331421239,103.812409789122
Kampong Java Neighbourhood Police Centre,1.31204343396145,103.846482122063
Orchard Neighbourhood Police Centre,1.29897844225137,103.839835303521
Toa Payoh Neighbourhood Police Centre,1.33462578879451,103.850467030457
Ang Mo Kio North Neighbourhood Police Centre,1.38500972217704,103.845095080578
Ang Mo Kio South Neighbourhood Police Centre,1.36991909998485,103.851710804038
Hougang Neighbourhood Police Centre,1.37430989312068,103.884984408651
Punggol Neighbourhood Police Centre,1.39815002449975,103.914054068345
Sembawang Neighbourhood Police Centre,1.44529527686162,103.819697009881
Sengkang Neighbourhood Police Centre,1.3927855958876,103.893906098217
Serangoon Neighbourhood Police Centre,1.35197215155335,103.870614310134
Yishun North Neighbourhood Police Centre,1.42934266418098,103.840281770864
Yishun South Neighbourhood Police Centre,1.41532018225183,103.834896378793
Bedok Neighbourhood Police Centre,1.33270940925778,103.937061569944
Changi Neighbourhood Police Centre,1.34455386840432,103.954830292302
Geylang Neighbourhood Police Centre,1.31096650009374,103.88613694635
Marine Parade Neighbourhood Police Centre,1.30622307033044,103.914451373301
Pasir Ris Neighbourhood Police Centre,1.36834910753861,103.959595073675
Tampines Neighbourhood Police Centre,1.34624760033141,103.938701810676
Bukit Batok Neighbourhood Police Centre,1.3491092097976,103.758521687388
Bukit Panjang Neighbourhood Police Centre,1.38688900135978,103.771719585228
Choa Chu Kang Neighbourhood Police Centre,1.39480564592115,103.744971294739
Jurong West Neighbourhood Police Centre,1.34932652839146,103.714522612582
Nanyang Neighbourhood Police Centre,1.35088682996153,103.702111120107
Woodlands Neighbourhood Police Centre,1.43349706957174,103.778858283815
Woodlands East Neighbourhood Police Centre,1.43888614836259,103.802364767691
Woodlands West Neighbourhood Police Centre,1.43349706957174,103.778858283815
